date,hits,keyword,geo,time,gprop,category,movie
2025-12-07,26,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-14,30,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-21,40,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-28,42,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-04,36,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-11,31,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-18,28,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-25,28,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-01,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-08,26,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-15,24,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-22,25,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-01,27,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-08,26,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-15,100,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-22,72,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-29,54,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2026-04-05,42,Dune 2,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-06,17,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-13,15,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-20,17,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-04-27,15,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-04,13,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-11,14,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-18,18,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-05-25,19,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-01,17,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-08,20,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-15,18,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-22,22,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-06-29,18,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-06,19,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-13,23,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-20,23,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-07-27,31,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-03,40,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-10,47,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-17,43,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-24,32,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-08-31,35,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-07,36,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-14,26,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-21,28,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-09-28,27,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-05,27,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-12,28,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-19,25,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-10-26,24,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-02,25,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-09,28,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-16,27,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-23,28,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-11-30,32,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-07,35,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-14,29,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-21,34,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2025-12-28,34,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-04,37,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-11,39,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-18,37,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-01-25,43,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-01,42,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-08,42,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-15,39,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-02-22,35,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-01,33,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-08,38,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-15,100,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-22,82,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-03-29,44,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
2026-04-05,33,Dune Part Two,,2025-04-12 2026-04-11,,0,Dune 2
